name,epochs,d_model,n_heads,num_layers,learning_rate,batch_size,n_text_cols,max_title_len,n_numeric_cols,n_categorical_cols,test_loss,test_roc_auc,test_pr_auc
greedy_feature_dropout_010,50,96,6,4,0.0001,64,1,10,5,6,0.1457832870401287,0.9675397718142374,0.6856014067323879
greedy_feature_dropout_020,50,96,6,4,0.0001,64,1,10,5,6,0.138945720196361,0.9680084632278108,0.6862575616151222
greedy_feature_dropout_030,50,96,6,4,0.0001,64,1,10,5,6,0.16059851353273638,0.9654150374060385,0.6951706039140897
greedy_feature_weight_decay_010,50,96,6,4,0.0001,64,1,10,5,6,0.16253208400029967,0.9647767243380292,0.7003436564177847
greedy_feature_weight_decay_030,50,96,6,4,0.0001,64,1,10,5,6,0.16059851353273638,0.9654150374060385,0.6951706039140897
greedy_feature_weight_decay_030,50,96,6,4,0.0001,64,1,10,5,6,0.15837861802078215,0.9645312193118718,0.7007649949547268
greedy_feature_learning_rate_003,50,96,6,4,0.003,64,1,10,5,6,0.37708667687133945,0.9384942953559376,0.5927815981941547
greedy_feature_learning_rate_0005,50,96,6,4,0.0005,64,1,10,5,6,0.1696281253375903,0.9659685396468299,0.7302862526519978
greedy_feature_learning_rate_0001,50,96,6,4,0.0001,64,1,10,5,6,0.16059851353273638,0.9654150374060385,0.6951706039140897
